what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1336943356064
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1336943356065
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1336943356066
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1336943356066
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1336943356066
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1336943356067
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1336943356068
os,sysinfo,,,"win32",1336943356071
arch,sysinfo,,,"x86_64",1336943356071
ws,sysinfo,,,"win32",1336943356071
locale,sysinfo,,,"fr_FR",1336943356071
processors,sysinfo,,,"8",1336943356071
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336943356071
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1336943356071
java.specification.name,sysinfo,,,"Java Platform API Specification",1336943356071
java.specification.vendor,sysinfo,,,"Oracle Corporation",1336943356071
java.specification.version,sysinfo,,,"1.7",1336943356071
java.vendor,sysinfo,,,"Oracle Corporation",1336943356071
java.version,sysinfo,,,"1.7.0_04",1336943356071
java.vm.info,sysinfo,,,"mixed mode",1336943356071
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336943356071
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336943356071
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1336943356071
java.vm.specification.version,sysinfo,,,"1.7",1336943356071
java.vm.vendor,sysinfo,,,"Oracle Corporation",1336943356071
java.vm.version,sysinfo,,,"23.0-b21",1336943356071
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1336943356295
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336943356402
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1336943356463
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1336943356467
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1336943356513
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1336943356522
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1336943356524
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1336943356547
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1336943356550
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1336943356553
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1336943356759
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1336943356764
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1336943356794
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1336943356800
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1336943356804
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1336943356809
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1336943356810
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1336943356843
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1336943359066
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336943361353
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336943361391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943361677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943367116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943368754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943400362
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336943401201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336943403666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336943406252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943409397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943417320
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1336943417331
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336943420497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943423415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336943439475
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1336943440566
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1336943440567
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1336943440576
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1336943440576
